"dailykosc"	"atriosblo"	"wonkettec"	"talkleftc"	"juancolec"	"powerlineb"	"realclearp"	"blogsforbu"	"instapundi"	"michellema"	
0.0002036869989183585	0.0002074583995880916	0.00014542125794541515	0.00014542125794541553	0.000145421257945415	0.00015262220964007908	0.00014872811934959525	0.00015418721842628977	0.00014950122206913805	0.00014964521464251205	
0.00015928545129210707	0.00017812540206937888	0.00014771740159568516	0.00014771740159568548	0.0001477174015956849	0.00015014908275094572	0.00014897140509541844	0.00015239020887889494	0.00015086586031026007	0.00014931053426642656	
0.00038373224530466316	0.00038373224530466256	0.0003837322453046635	0.00038373224530466413	0.00038373224530466294	0.0003837322453046636	0.00038373224530466343	0.00038373224530466364	0.0003837322453046638	0.0003837322453046644	
0.00038373224530466316	0.0003837322453046631	0.0003837322453046634	0.00038373224530466424	0.0003837322453046627	0.00038373224530466354	0.0003837322453046638	0.00038373224530466354	0.00038373224530466375	0.00038373224530466375	
0.00012034696877538743	0.00012263335068359328	0.00011255635615393849	0.00011255635615393874	0.00011255635615393828	0.00011508284116640722	0.00011373114183432849	0.00011617386834124292	0.0001145106969629519	0.00011425453938352796	
9.060402684563736e-05	9.060402684563727e-05	9.060402684563749e-05	9.060402684563771e-05	9.060402684563733e-05	9.060402684563749e-05	9.060402684563752e-05	9.060402684563744e-05	9.060402684563754e-05	9.060402684563765e-05	
0.00040830071091707006	0.0004336486572236731	0.0003958946638552498	0.00039589466385525044	0.0003958946638552491	0.0003985535742017593	0.00039703305290693874	0.0003995495420890941	0.0003975199308888048	0.0003973856186089222	
0.00020910652384194045	0.000250381064467444	0.0001741138693642127	0.0001741138693642131	0.0001741138693642125	0.00018271899886599914	0.00017788846758969354	0.00018515804830198832	0.00017924624892967409	0.0001789364041591335	
9.060402684563736e-05	9.060402684563727e-05	9.060402684563749e-05	9.060402684563771e-05	9.060402684563733e-05	9.060402684563749e-05	9.060402684563752e-05	9.060402684563744e-05	9.060402684563754e-05	9.060402684563765e-05	
9.697223221281384e-05	9.844417654604595e-05	9.460720865425191e-05	9.460720865425216e-05	9.460720865425175e-05	9.641705880077567e-05	9.51961510427312e-05	9.635718300538515e-05	9.612557664189257e-05	9.545301653658437e-05	
9.060402684563736e-05	9.060402684563727e-05	9.060402684563749e-05	9.060402684563771e-05	9.060402684563733e-05	9.060402684563749e-05	9.060402684563752e-05	9.060402684563744e-05	9.060402684563754e-05	9.060402684563765e-05	
9.486622380591368e-05	9.486665372575488e-05	9.48659702824606e-05	9.486597028246082e-05	9.486597028246041e-05	9.486601779094501e-05	9.486599326242337e-05	9.486604124646236e-05	9.486600193774427e-05	9.48660023073927e-05	
0.001315996707294754	0.0015010465066573175	0.0006158722012423457	0.0006158722012423467	0.0006158722012423446	0.0008327161502870778	0.0007689396955072929	0.0009496596025700562	0.0007643032630405515	0.0007893062055704896	
0.0009034833261151442	0.001831361545092057	0.00044659514048239415	0.0004465951404823952	0.0004465951404823935	0.0008118015121318359	0.0006105948860287821	0.0008317682299999813	0.0006475731384473081	0.0006199975071646351	
0.00016992906496092973	0.00019101986545715671	0.0001510472377046023	0.0001510472377046027	0.00015104723770460214	0.00015484443826919758	0.00015268921239627154	0.00015666207204382036	0.00015336642251183338	0.00015322505957805006	
